"Financial Year & Period","Route","Route Name","Area","Area Name","Delivery Unit","Delivery Unit Name","Incident Summary Group","Incident Category","Incident Category Description","Incident Reason","Incident Reason Description","Responsible Organisation","Responsible Organisation Name","Responsible Manager","Responsible Manager Name","Responsible Function Level 3 Desc","Responsible Function Level 3 Name","v_Incident Count","v_PfPI Minutes"
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","ET","GTR","MET1","GTR Brighton Depot","NONE","NONE",2,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","ET","GTR","MET2","GTR Stewarts Lane Depot","NONE","NONE",1,5
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","ET","GTR","MET4","GTR SN OUTER CS","NONE","NONE",2,23
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","ET","GTR","MET7","GTR SN Three Bridges Depot Ops","NONE","NONE",9,65
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","ET","GTR","METR","GTR Class 700 Unit","NONE","NONE",2,13
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","M0","Confirmed train cab based safety system fault (including GSMR)","ET","GTR","METU","GTR Class 377 1/4 Unit","NONE","NONE",1,21
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","M7","Door and Door system faults","ET","GTR","METJ","GTR SN Class 313 Unit","NONE","NONE",1,12
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","M7","Door and Door system faults","ET","GTR","METU","GTR Class 377 1/4 Unit","NONE","NONE",2,21
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","M8","Technical failures above the Solebar","ET","GTR","METR","GTR Class 700 Unit","NONE","NONE",9,106
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","M8","Technical failures above the Solebar","ET","GTR","METU","GTR Class 377 1/4 Unit","NONE","NONE",3,13
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","M8","Technical failures above the Solebar","ET","GTR","METW","GTR Class 377 6/7 Unit","NONE","NONE",1,36
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","M9","Reported fleet equipment defect - no fault found","ET","GTR","METU","GTR Class 377 1/4 Unit","NONE","NONE",1,5
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","MB","Electic Loco failure, defect, attention","P1","GB Rail Eng","MPEI","GB Rail Infrastructure","NONE","NONE",1,20
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","MD","Technical failures below the solebar","ET","GTR","METJ","GTR SN Class 313 Unit","NONE","NONE",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","MD","Technical failures below the solebar","ET","GTR","METU","GTR Class 377 1/4 Unit","NONE","NONE",4,52
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","MD","Technical failures below the solebar","ET","GTR","METY","GTR CLASS 171 UNIT","NONE","NONE",1,5
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","MN","Brake and brake systems faults; including wheel flats where no other cause had been identified","ET","GTR","METU","GTR Class 377 1/4 Unit","NONE","NONE",1,4
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","MV","Engineers on-track equipment failure outside possession","RT","Harsco","MRTA","Harsco","NONE","NONE",1,8
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","MV","Engineers on-track equipment failure outside possession","RZ","Balfour RP","MRZY","Balfour Beatty OTP","NONE","NONE",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Fleet","701D","Technical Fleet delays","MY","Coupler and Coupler system faults","ET","GTR","METU","GTR Class 377 1/4 Unit","NONE","NONE",3,83
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","102","Problems with trackside signs including TSR boards","IQ","Trackside sign blown down, fallen over, missing, defective, mis-placed","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,15
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","106","Other infrastructure","I8","Animal Strike or Incursion within the control of Network Rail","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,20
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","106","Other infrastructure","JX","Miscellaneous items (including litter) causing obstructions, not trespass, vandalism, weather or fallen/thrown from trains","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",4,34
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","106A","Track Patrols & related possessions","I6","Delays as a result of line blocks / track patrols (including late handback)","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",3,125
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","106A","Track Patrols & related possessions","I6","Delays as a result of line blocks / track patrols (including late handback)","NR","Network Rail","IQBM","SUS RAM Buildings","Buildings","RAM BUILDINGS",2,16
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","107A","Possession over-run and related faults","I5","Possession over-run from planned work","NR","Network Rail","IQM3","KNT ASHFORD DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,8
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","107A","Possession over-run and related faults","I7","Engineer's train late into, from or failed in possession","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,6
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","107A","Possession over-run and related faults","I7","Engineer's train late into, from or failed in possession","NR","Network Rail","IQCP","WSX SODM Network Operations","Access Planning And Possession Delivery","ACCESS PLANNING & POSSESS DEL",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","108","Mishap - infrastructure causes","JL","Safety related incident caused by maintenance or infrastructure staff oversight or error (not Operations staff)","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",4,23
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","111B","Vegetation Management Failure","JP","Failure to maintain vegetation within network boundaries in accordance with prevailing Network Rail standards","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,31
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OB","Delayed by signaller not applying applicable regulating policy","NR","Network Rail","OQBO","SUS LOM WEST SUSSEX","Local Operations","LOCAL OPERATIONS",1,11
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OB","Delayed by signaller not applying applicable regulating policy","NR","Network Rail","OQBS","SUS LOM THREE BRIDGES ROC","Route Control Centres","ROUTE CONTROL CENTRES",1,26
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OB","Delayed by signaller not applying applicable regulating policy","NR","Network Rail","OQBT","SUS LOM Three Bridges","Local Operations","LOCAL OPERATIONS",73,400
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OB","Delayed by signaller not applying applicable regulating policy","NR","Network Rail","OQCE","WSX LOM HAVANT","Local Operations","LOCAL OPERATIONS",2,7
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OC","Signaller including mis-routing (not ERTM /ETCS related)","NR","Network Rail","OQBO","SUS LOM WEST SUSSEX","Local Operations","LOCAL OPERATIONS",8,54
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OC","Signaller including mis-routing (not ERTM /ETCS related)","NR","Network Rail","OQBQ","SUS LOM EAST COASTWAY","Local Operations","LOCAL OPERATIONS",3,10
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OC","Signaller including mis-routing (not ERTM /ETCS related)","NR","Network Rail","OQBS","SUS LOM THREE BRIDGES ROC","Route Control Centres","ROUTE CONTROL CENTRES",9,100
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OC","Signaller including mis-routing (not ERTM /ETCS related)","NR","Network Rail","OQBT","SUS LOM Three Bridges","Local Operations","LOCAL OPERATIONS",74,377
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OQ","Incorrect simplifier","NR","Network Rail","OQBO","SUS LOM WEST SUSSEX","Local Operations","LOCAL OPERATIONS",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501A","Network Rail Operations - signalling","OQ","Incorrect simplifier","NR","Network Rail","OQBT","SUS LOM Three Bridges","Local Operations","LOCAL OPERATIONS",2,16
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501B","Network Rail Operations - control","OD","Delayed as a result of Route Control decision or directive","NR","Network Rail","OQBC","SUS COM - CONTROL","Route Control Centres","ROUTE CONTROL CENTRES",3,12
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","501B","Network Rail Operations - control","QN","VSTP Schedule/ VSTP Process (TSI created schedule)","NR","Network Rail","QQBH","SUS COM - VSTP Delays","Route Control Centres","ROUTE CONTROL CENTRES",2,4
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","502A","Timetable Planning","QB","Planned engineering work - diversion/SLW not timetabled (outside the Timetable Planning Rules)","NR","Network Rail","QQBO","SUS Possession Planning","Access Planning And Possession Delivery","ACCESS PLANNING & POSSESS DEL",3,200
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","502A","Timetable Planning","QM","Train schedule/STP Process including erroneous simplifiers","NR","Network Rail","QQA0","TP ALL LTP ALSO PSNGER STP","Operational Planning","OPERATIONAL PLANNING",40,183
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","502A","Timetable Planning","QM","Train schedule/STP Process including erroneous simplifiers","NR","Network Rail","QQAJ","TP STP NETWORK RAIL SERVICES","Operational Planning","OPERATIONAL PLANNING",2,33
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","502A","Timetable Planning","QM","Train schedule/STP Process including erroneous simplifiers","NR","Network Rail","QQBO","SUS Possession Planning","Access Planning And Possession Delivery","ACCESS PLANNING & POSSESS DEL",2,86
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","601","All Z codes - Unexplained","ZS","No Cause ascertainable for a Sub-Threshold Delay causing Threshold Reactionary (where agreed by both parties)","NR","Network Rail","ZQBG","SUS GTR Unexplained","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",118,538
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","601","All Z codes - Unexplained","ZU","No Cause Identified After investigation by both Parties","NR","Network Rail","ZQBG","SUS GTR Unexplained","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",1,0
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","601","All Z codes - Unexplained","ZU","No Cause Identified After investigation by both Parties","NR","Network Rail","ZQDJ","WES GWR UNEXPLAINED","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",4,12
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Network Management / Other","602","Uninvestigated Delay","OU","Delays not Investigated by Network Rail","NR","Network Rail","OQKL","STH SUSSEX DATA QUALITY ","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",33,0
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","101","Points failures","IB","Points failure (including no fault found)","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,34
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","103","Level crossing failures","ID","Level crossing faults and failure incl. barrow/foot crossings and crossing treadles","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",10,151
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","201","OLE/Third Rail faults","I2","AC/DC trip (including no fault or cause found)","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,5
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","301A","Signal Failures","IA","Signal failure (including no fault found)","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",7,122
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","301B","Track Circuit Failures","IC","Track circuit failure (including no fault found)","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",6,468
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","301C","Axle Counter Failures","J3","Axle Counter Failure","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,7
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","302A","Signalling System & Power Supply Failures","IE","Signalling Functional Power Supply Failure","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,11
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","302A","Signalling System & Power Supply Failures","IF","Train Describer/Panel/ARS/SSI/TDM Remote Control failure","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",11,682
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","302A","Signalling System & Power Supply Failures","IH","Power Supply And Distribution System Failure","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,9
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","302B","Other Signal Equipment Failures","IJ","AWS/ATP/TPWS/Train stop/On track equipment failure","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",3,22
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","302B","Other Signal Equipment Failures","IM","Infrastructure Balise Failure (TASS / ETCS / ERTMS)","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,12
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","303","Telecoms failures","IK","Telecom equipment failure (including no fault found)","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,62
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","303","Telecoms failures","J0","Telecom equipment radio failure (GSM-R)","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,10
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Non-Track Assets","304","Cable faults (signalling & comms)","II","Signalling lineside cable fault","NR","Network Rail","IQBG","SUS BRIGHTON DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",4,288
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Operations","701B","Train operations","FO","Time Lost en-route believed to be operator cause and  information required from Operator (Ops Responsibility)","D2","Freightliner HH","FDBH","F/Liner Hh Non Coal","NONE","NONE",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Operations","701B","Train operations","TA","Train-crew/loco/stock/unit diagram issues","EF","GWR","TEFZ","GWR Train Planning","GW Projects","FGW PROJECTS",1,""
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Operations","701B","Train operations","TA","Train-crew/loco/stock/unit diagram issues","ET","GTR","TET3","GTR GN/TL Train Planning","NONE","NONE",1,7
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Operations","701B","Train operations","TA","Train-crew/loco/stock/unit diagram issues","ET","GTR","TET4","GTR SN/GX Train Planning","NONE","NONE",5,202
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Operations","701B","Train operations","TB","Train cancelled or delayed at Train Operators request","ET","GTR","TET7","GTR TBD ROC Service Delivery","NONE","NONE",17,20
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Operations","701B","Train operations","TP","Special Stop Orders","ET","GTR","TET7","GTR TBD ROC Service Delivery","NONE","NONE",2,10
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Operations","701B","Train operations","TZ","Other Passenger Train Operating Company causes","EF","GWR","TEF8","GWR HQ Commercial","GW Operations - HQ","FGW OPERATIONS - HQ",1,4
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Operations","701B","Train operations","TZ","Other Passenger Train Operating Company causes","ET","GTR","TET5","GTR TL Driver Resource Mgr","NONE","NONE",1,8
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Severe Weather, Autumn & Structures","105","Civil Engineering structures, earthworks & buildings","IV","Cutting or embankment earthslip, rock fall or subsidence (not the result of severe weather on the day of failure)","NR","Network Rail","IQBH","SUS RAM Civils","Civils","RAM CIVILS",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Severe Weather, Autumn & Structures","105","Civil Engineering structures, earthworks & buildings","JD","Structures - Bridges/tunnels/buildings/retaining walls/sea defences (not bridge strikes)","NR","Network Rail","IQBH","SUS RAM Civils","Civils","RAM CIVILS",1,11
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R1","Incorrect train dispatch by station staff","ET","GTR","SETL","GTR SN REI-CDS","NONE","NONE",1,7
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R1","Incorrect train dispatch by station staff","ET","GTR","SETN","GTR SN TBD-ELD (EXC GTW)","NONE","NONE",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R1","Incorrect train dispatch by station staff","ET","GTR","SETR","GTR SN East Coastway","NONE","NONE",1,8
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R2","Late TRTS given by station staff","ET","GTR","RETQ","GTR TL Stns NXG-BTN & STH CST","NONE","NONE",2,8
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R2","Late TRTS given by station staff","ET","GTR","SETL","GTR SN REI-CDS","NONE","NONE",1,5
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R2","Late TRTS given by station staff","ET","GTR","SETR","GTR SN East Coastway","NONE","NONE",1,4
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R2","Late TRTS given by station staff","ET","GTR","SETS","GTR SN West Coastway","NONE","NONE",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R3","Station Staff unavailable - missing or uncovered","ET","GTR","SETL","GTR SN REI-CDS","NONE","NONE",3,13
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R3","Station Staff unavailable - missing or uncovered","ET","GTR","SETN","GTR SN TBD-ELD (EXC GTW)","NONE","NONE",1,5
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R3","Station Staff unavailable - missing or uncovered","ET","GTR","SETO","GTR SN BTN-BAB","NONE","NONE",1,4
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R3","Station Staff unavailable - missing or uncovered","ET","GTR","SETS","GTR SN West Coastway","NONE","NONE",1,6
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R5","Station staff error - e.g wrong announcements  misdirection","ET","GTR","SETD","GTR SN METRO WEST OUTER","NONE","NONE",2,6
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R5","Station staff error - e.g wrong announcements  misdirection","ET","GTR","SETL","GTR SN REI-CDS","NONE","NONE",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R5","Station staff error - e.g wrong announcements  misdirection","ET","GTR","SETR","GTR SN East Coastway","NONE","NONE",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R5","Station staff error - e.g wrong announcements  misdirection","ET","GTR","SETS","GTR SN West Coastway","NONE","NONE",1,7
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R8","Delay at Station believed to be operator cause and information required from operator (Ops Responsibility)","ET","GTR","RETQ","GTR TL Stns NXG-BTN & STH CST","NONE","NONE",3,16
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","R8","Delay at Station believed to be operator cause and information required from operator (Ops Responsibility)","ET","GTR","SETL","GTR SN REI-CDS","NONE","NONE",1,3
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","RQ","Un-booked assistance for a person with reduced mobility joining/alighting,","ET","GTR","RETQ","GTR TL Stns NXG-BTN & STH CST","NONE","NONE",1,6
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","RY","Mishap - Station Operating causes","ET","GTR","RETQ","GTR TL Stns NXG-BTN & STH CST","NONE","NONE",1,4
"2020/21_P01","B","Sussex","GMSU","Sussex","DUBGT","BRIGHTON","Stations","701E","Station delays","RY","Mishap - Station Operating causes","ET","GTR","SETL","GTR SN REI-CDS","NONE","NONE",1,13
